User Name,Condition,Target Character,Block Count,Time Taken (ms)
User,dynamic,n,5,4440.2
User,dynamic,t,5,5026.6
User,dynamic,c,5,5130.9
User,dynamic,k,5,5546.6
User,dynamic,v,5,1930.9
User,dynamic,s,5,2771.2
User,dynamic,n,4,1578.8
User,dynamic,s,4,3499.4
User,dynamic,t,4,3507.2
User,dynamic,k,4,5811.7
User,dynamic,v,4,1938.6
User,dynamic,c,4,1763.8
User,dynamic,v,3,1418.3
User,dynamic,k,3,1692.0
User,dynamic,t,3,4195.1
User,dynamic,s,3,3843.8
User,dynamic,n,3,5843.7
User,dynamic,c,3,2115.0
User,dynamic,t,2,14227.9
User,dynamic,s,2,3707.1
User,dynamic,n,2,2156.2
User,dynamic,c,2,2002.8
User,dynamic,v,2,2059.6
User,dynamic,k,2,1835.2
User,dynamic,s,1,3404.2
User,dynamic,c,1,1995.0
User,dynamic,v,1,8323.1
User,dynamic,k,1,3779.4
User,dynamic,n,1,3074.6
User,dynamic,t,1,5051.0
User,dynamic,k,0,2315.0
User,dynamic,t,0,2259.3
User,dynamic,s,0,4098.5
User,dynamic,n,0,1986.5
User,dynamic,c,0,2275.2
User,dynamic,v,0,1661.5
